species_malay,month,month_name_ms,landings_tonnes
Aji-Aji,1,Januari,48
Aji-Aji,2,Februari,55
Aji-Aji,3,Mac,62
Aji-Aji,4,April,82
Aji-Aji,5,Mei,89
Aji-Aji,6,Jun,85
Aji-Aji,7,Julai,80
Aji-Aji,8,Ogos,75
Aji-Aji,9,September,79
Aji-Aji,10,Oktober,82
Aji-Aji,11,November,69
Aji-Aji,12,Disember,63
Alu-alu/Kacang-kacang,1,Januari,595
Alu-alu/Kacang-kacang,2,Februari,619
Alu-alu/Kacang-kacang,3,Mac,698
Alu-alu/Kacang-kacang,4,April,633
Alu-alu/Kacang-kacang,5,Mei,702
Alu-alu/Kacang-kacang,6,Jun,694
Alu-alu/Kacang-kacang,7,Julai,855
Alu-alu/Kacang-kacang,8,Ogos,824
Alu-alu/Kacang-kacang,9,September,634
Alu-alu/Kacang-kacang,10,Oktober,756
Alu-alu/Kacang-kacang,11,November,652
Alu-alu/Kacang-kacang,12,Disember,509
Aruan Tasek,1,Januari,45
Aruan Tasek,2,Februari,43
Aruan Tasek,3,Mac,83
Aruan Tasek,4,April,43
Aruan Tasek,5,Mei,46
Aruan Tasek,6,Jun,42
Aruan Tasek,7,Julai,62
Aruan Tasek,8,Ogos,47
Aruan Tasek,9,September,73
Aruan Tasek,10,Oktober,58
Aruan Tasek,11,November,58
Aruan Tasek,12,Disember,56
Baji-Baji,1,Januari,47
Baji-Baji,2,Februari,82
Baji-Baji,3,Mac,62
Baji-Baji,4,April,135
Baji-Baji,5,Mei,134
Baji-Baji,6,Jun,77
Baji-Baji,7,Julai,74
Baji-Baji,8,Ogos,66
Baji-Baji,9,September,67
Baji-Baji,10,Oktober,77
Baji-Baji,11,November,86
Baji-Baji,12,Disember,79
Bawal Bujang,1,Januari,13
Bawal Bujang,2,Februari,8
Bawal Bujang,3,Mac,20
Bawal Bujang,4,April,19
Bawal Bujang,5,Mei,18
Bawal Bujang,6,Jun,21
Bawal Bujang,7,Julai,23
Bawal Bujang,8,Ogos,35
Bawal Bujang,9,September,20
Bawal Bujang,10,Oktober,20
Bawal Bujang,11,November,14
Bawal Bujang,12,Disember,170
Bawal Emas,1,Januari,8
Bawal Emas,2,Februari,9
Bawal Emas,3,Mac,7
Bawal Emas,4,April,7
Bawal Emas,5,Mei,8
Bawal Emas,6,Jun,11
Bawal Emas,7,Julai,9
Bawal Emas,8,Ogos,10
Bawal Emas,9,September,8
Bawal Emas,10,Oktober,7
Bawal Emas,11,November,7
Bawal Emas,12,Disember,7
Bawal Hitam,1,Januari,506
Bawal Hitam,2,Februari,499
Bawal Hitam,3,Mac,1031
Bawal Hitam,4,April,1597
Bawal Hitam,5,Mei,1275
Bawal Hitam,6,Jun,814
Bawal Hitam,7,Julai,835
Bawal Hitam,8,Ogos,836
Bawal Hitam,9,September,746
Bawal Hitam,10,Oktober,682
Bawal Hitam,11,November,660
Bawal Hitam,12,Disember,998
Bawal Putih,1,Januari,625
Bawal Putih,2,Februari,640
Bawal Putih,3,Mac,705
Bawal Putih,4,April,705
Bawal Putih,5,Mei,683
Bawal Putih,6,Jun,724
Bawal Putih,7,Julai,707
Bawal Putih,8,Ogos,690
Bawal Putih,9,September,681
Bawal Putih,10,Oktober,694
Bawal Putih,11,November,689
Bawal Putih,12,Disember,650
Bawal Selatan,1,Januari,257
Bawal Selatan,2,Februari,259
Bawal Selatan,3,Mac,267
Bawal Selatan,4,April,267
Bawal Selatan,5,Mei,262
Bawal Selatan,6,Jun,253
Bawal Selatan,7,Julai,249
Bawal Selatan,8,Ogos,247
Bawal Selatan,9,September,260
Bawal Selatan,10,Oktober,253
Bawal Selatan,11,November,260
Bawal Selatan,12,Disember,253
Bawal Tambak,1,Januari,144
Bawal Tambak,2,Februari,184
Bawal Tambak,3,Mac,208
Bawal Tambak,4,April,206
Bawal Tambak,5,Mei,205
Bawal Tambak,6,Jun,213
Bawal Tambak,7,Julai,219
Bawal Tambak,8,Ogos,208
Bawal Tambak,9,September,194
Bawal Tambak,10,Oktober,156
Bawal Tambak,11,November,172
Bawal Tambak,12,Disember,150
Bayan,1,Januari,65
Bayan,2,Februari,84
Bayan,3,Mac,138
Bayan,4,April,131
Bayan,5,Mei,207
Bayan,6,Jun,164
Bayan,7,Julai,121
Bayan,8,Ogos,150
Bayan,9,September,175
Bayan,10,Oktober,140
Bayan,11,November,50
Bayan,12,Disember,49
Belanak,1,Januari,504
Belanak,2,Februari,465
Belanak,3,Mac,485
Belanak,4,April,546
Belanak,5,Mei,530
Belanak,6,Jun,599
Belanak,7,Julai,550
Belanak,8,Ogos,525
Belanak,9,September,433
Belanak,10,Oktober,428
Belanak,11,November,513
Belanak,12,Disember,461
Belangkas,1,Januari,14
Belangkas,2,Februari,21
Belangkas,3,Mac,15
Belangkas,4,April,18
Belangkas,5,Mei,26
Belangkas,6,Jun,20
Belangkas,7,Julai,22
Belangkas,8,Ogos,23
Belangkas,9,September,20
Belangkas,10,Oktober,23
Belangkas,11,November,20
Belangkas,12,Disember,17
Beliak Mata,1,Januari,505
Beliak Mata,2,Februari,690
Beliak Mata,3,Mac,891
Beliak Mata,4,April,554
Beliak Mata,5,Mei,536
Beliak Mata,6,Jun,492
Beliak Mata,7,Julai,521
Beliak Mata,8,Ogos,778
Beliak Mata,9,September,576
Beliak Mata,10,Oktober,552
Beliak Mata,11,November,548
Beliak Mata,12,Disember,681
Belut,1,Januari,0
Belut,2,Februari,0.48
Belut,3,Mac,0.55
Belut,4,April,0.4
Belut,5,Mei,0.5
Belut,6,Jun,0.5
Belut,7,Julai,0.3
Belut,8,Ogos,0.3
Belut,9,September,0
Belut,10,Oktober,0
Belut,11,November,0.16
Belut,12,Disember,0.5
Benih Kerang,1,Januari,45
Benih Kerang,2,Februari,113
Benih Kerang,3,Mac,114
Benih Kerang,4,April,425
Benih Kerang,5,Mei,1790
Benih Kerang,6,Jun,401
Benih Kerang,7,Julai,25
Benih Kerang,8,Ogos,40
Benih Kerang,9,September,74
Benih Kerang,10,Oktober,23
Benih Kerang,11,November,17
Benih Kerang,12,Disember,21
Biji Nangka,1,Januari,1040
Biji Nangka,2,Februari,1147
Biji Nangka,3,Mac,1255
Biji Nangka,4,April,1112
Biji Nangka,5,Mei,1390
Biji Nangka,6,Jun,1226
Biji Nangka,7,Julai,1039
Biji Nangka,8,Ogos,1080
Biji Nangka,9,September,1117
Biji Nangka,10,Oktober,1203
Biji Nangka,11,November,1258
Biji Nangka,12,Disember,1041
Biji Nangka Tanda Merah,1,Januari,9
Biji Nangka Tanda Merah,2,Februari,11
Biji Nangka Tanda Merah,3,Mac,15
Biji Nangka Tanda Merah,4,April,20
Biji Nangka Tanda Merah,5,Mei,20
Biji Nangka Tanda Merah,6,Jun,14
Biji Nangka Tanda Merah,7,Julai,9
Biji Nangka Tanda Merah,8,Ogos,13
Biji Nangka Tanda Merah,9,September,13
Biji Nangka Tanda Merah,10,Oktober,10
Biji Nangka Tanda Merah,11,November,10
Biji Nangka Tanda Merah,12,Disember,11
Bilis/Bunga Air,1,Januari,945
Bilis/Bunga Air,2,Februari,936
Bilis/Bunga Air,3,Mac,1189
Bilis/Bunga Air,4,April,1199
Bilis/Bunga Air,5,Mei,1453
Bilis/Bunga Air,6,Jun,1260
Bilis/Bunga Air,7,Julai,1576
Bilis/Bunga Air,8,Ogos,1469
Bilis/Bunga Air,9,September,1449
Bilis/Bunga Air,10,Oktober,1100
Bilis/Bunga Air,11,November,1138
Bilis/Bunga Air,12,Disember,876
Bulan-Bulan,1,Januari,46
Bulan-Bulan,2,Februari,36
Bulan-Bulan,3,Mac,46
Bulan-Bulan,4,April,55
Bulan-Bulan,5,Mei,67
Bulan-Bulan,6,Jun,69
Bulan-Bulan,7,Julai,71
Bulan-Bulan,8,Ogos,68
Bulan-Bulan,9,September,64
Bulan-Bulan,10,Oktober,55
Bulan-Bulan,11,November,45
Bulan-Bulan,12,Disember,39
Bulu,1,Januari,12
Bulu,2,Februari,14
Bulu,3,Mac,18
Bulu,4,April,19
Bulu,5,Mei,24
Bulu,6,Jun,27
Bulu,7,Julai,34
Bulu,8,Ogos,41
Bulu,9,September,34
Bulu,10,Oktober,31
Bulu,11,November,27
Bulu,12,Disember,22
Bulu Ayam,1,Januari,126
Bulu Ayam,2,Februari,147
Bulu Ayam,3,Mac,207
Bulu Ayam,4,April,293
Bulu Ayam,5,Mei,315
Bulu Ayam,6,Jun,355
Bulu Ayam,7,Julai,308
Bulu Ayam,8,Ogos,348
Bulu Ayam,9,September,322
Bulu Ayam,10,Oktober,274
Bulu Ayam,11,November,265
Bulu Ayam,12,Disember,254
Cermin/Sagai/Cupak,1,Januari,292
Cermin/Sagai/Cupak,2,Februari,297
Cermin/Sagai/Cupak,3,Mac,351
Cermin/Sagai/Cupak,4,April,367
Cermin/Sagai/Cupak,5,Mei,390
Cermin/Sagai/Cupak,6,Jun,439
Cermin/Sagai/Cupak,7,Julai,397
Cermin/Sagai/Cupak,8,Ogos,393
Cermin/Sagai/Cupak,9,September,396
Cermin/Sagai/Cupak,10,Oktober,354
Cermin/Sagai/Cupak,11,November,331
Cermin/Sagai/Cupak,12,Disember,311
Chaping,1,Januari,25
Chaping,2,Februari,32
Chaping,3,Mac,44
Chaping,4,April,53
Chaping,5,Mei,56
Chaping,6,Jun,55
Chaping,7,Julai,54
Chaping,8,Ogos,57
Chaping,9,September,48
Chaping,10,Oktober,46
Chaping,11,November,43
Chaping,12,Disember,28
Cincaru,1,Januari,2101
Cincaru,2,Februari,2137
Cincaru,3,Mac,2369
Cincaru,4,April,2536
Cincaru,5,Mei,2755
Cincaru,6,Jun,2510
Cincaru,7,Julai,2672
Cincaru,8,Ogos,3177
Cincaru,9,September,2666
Cincaru,10,Oktober,2123
Cincaru,11,November,2066
Cincaru,12,Disember,2013
Cumit-cumit,1,Januari,235
Cumit-cumit,2,Februari,364
Cumit-cumit,3,Mac,288
Cumit-cumit,4,April,364
Cumit-cumit,5,Mei,371
Cumit-cumit,6,Jun,363
Cumit-cumit,7,Julai,329
Cumit-cumit,8,Ogos,412
Cumit-cumit,9,September,403
Cumit-cumit,10,Oktober,375
Cumit-cumit,11,November,371
Cumit-cumit,12,Disember,387
Daun Baharu,1,Januari,125
Daun Baharu,2,Februari,127
Daun Baharu,3,Mac,130
Daun Baharu,4,April,146
Daun Baharu,5,Mei,159
Daun Baharu,6,Jun,184
Daun Baharu,7,Julai,195
Daun Baharu,8,Ogos,194
Daun Baharu,9,September,182
Daun Baharu,10,Oktober,162
Daun Baharu,11,November,154
Daun Baharu,12,Disember,148
Debam,1,Januari,2
Debam,2,Februari,2
Debam,3,Mac,3
Debam,4,April,6
Debam,5,Mei,8
Debam,6,Jun,7
Debam,7,Julai,6
Debam,8,Ogos,6
Debam,9,September,6
Debam,10,Oktober,5
Debam,11,November,5
Debam,12,Disember,4
Delah,1,Januari,129
Delah,2,Februari,96
Delah,3,Mac,132
Delah,4,April,117
Delah,5,Mei,138
Delah,6,Jun,134
Delah,7,Julai,153
Delah,8,Ogos,125
Delah,9,September,112
Delah,10,Oktober,111
Delah,11,November,111
Delah,12,Disember,94
Demudok,1,Januari,436
Demudok,2,Februari,452
Demudok,3,Mac,504
Demudok,4,April,606
Demudok,5,Mei,626
Demudok,6,Jun,624
Demudok,7,Julai,682
Demudok,8,Ogos,654
Demudok,9,September,568
Demudok,10,Oktober,700
Demudok,11,November,536
Demudok,12,Disember,477
Dengkis,1,Januari,123
Dengkis,2,Februari,141
Dengkis,3,Mac,155
Dengkis,4,April,183
