coast,state,month,month_name_ms,landings_tonnes
west,Perlis,1,Januari,930
west,Perlis,2,Februari,1654
west,Perlis,3,Mac,1895
west,Perlis,4,April,2501
west,Perlis,5,Mei,3075
west,Perlis,6,Jun,2573
west,Perlis,7,Julai,3601
west,Perlis,8,Ogos,2759
west,Perlis,9,September,2581
west,Perlis,10,Oktober,2526
west,Perlis,11,November,2219
west,Perlis,12,Disember,1785
west,Kedah,1,Januari,9827
west,Kedah,2,Februari,10116
west,Kedah,3,Mac,8756
west,Kedah,4,April,8170
west,Kedah,5,Mei,9052
west,Kedah,6,Jun,8799
west,Kedah,7,Julai,8807
west,Kedah,8,Ogos,8485
west,Kedah,9,September,7780
west,Kedah,10,Oktober,8469
west,Kedah,11,November,8067
west,Kedah,12,Disember,7987
west,Pulau Pinang,1,Januari,3050
west,Pulau Pinang,2,Februari,5330
west,Pulau Pinang,3,Mac,5343
west,Pulau Pinang,4,April,4907
west,Pulau Pinang,5,Mei,3004
west,Pulau Pinang,6,Jun,2964
west,Pulau Pinang,7,Julai,2385
west,Pulau Pinang,8,Ogos,2403
west,Pulau Pinang,9,September,2264
west,Pulau Pinang,10,Oktober,2609
west,Pulau Pinang,11,November,2438
west,Pulau Pinang,12,Disember,2536
west,Perak,1,Januari,24668
west,Perak,2,Februari,29393
west,Perak,3,Mac,41794
west,Perak,4,April,42264
west,Perak,5,Mei,48336
west,Perak,6,Jun,39662
west,Perak,7,Julai,35482
west,Perak,8,Ogos,36710
west,Perak,9,September,32122
west,Perak,10,Oktober,34567
west,Perak,11,November,36970
west,Perak,12,Disember,32381
west,Selangor,1,Januari,11493
west,Selangor,2,Februari,12112
west,Selangor,3,Mac,12525
west,Selangor,4,April,12475
west,Selangor,5,Mei,12758
west,Selangor,6,Jun,13206
west,Selangor,7,Julai,14360
west,Selangor,8,Ogos,14745
west,Selangor,9,September,15056
west,Selangor,10,Oktober,15258
west,Selangor,11,November,15794
west,Selangor,12,Disember,13952
west,Negeri Sembilan,1,Januari,51
west,Negeri Sembilan,2,Februari,59
west,Negeri Sembilan,3,Mac,61
west,Negeri Sembilan,4,April,53
west,Negeri Sembilan,5,Mei,62
west,Negeri Sembilan,6,Jun,65
