price_type,species_malay,month,month_name_ms,price_rm_per_kg,annual_average_rm_per_kg
ex_vessel,Aji-Aji,1,Januari,8.5,9.09
ex_vessel,Aji-Aji,2,Februari,7.93,9.09
ex_vessel,Aji-Aji,3,Mac,8.31,9.09
ex_vessel,Aji-Aji,4,April,8.16,9.09
ex_vessel,Aji-Aji,5,Mei,8.68,9.09
ex_vessel,Aji-Aji,6,Jun,8.02,9.09
ex_vessel,Aji-Aji,7,Julai,9.43,9.09
ex_vessel,Aji-Aji,8,Ogos,9.52,9.09
ex_vessel,Aji-Aji,9,September,10.18,9.09
ex_vessel,Aji-Aji,10,Oktober,10.69,9.09
ex_vessel,Aji-Aji,11,November,9.83,9.09
ex_vessel,Aji-Aji,12,Disember,9.78,9.09
ex_vessel,Alu-alu/Kacang-kacang,1,Januari,6.7,6.21
ex_vessel,Alu-alu/Kacang-kacang,2,Februari,6.64,6.21
ex_vessel,Alu-alu/Kacang-kacang,3,Mac,6.39,6.21
ex_vessel,Alu-alu/Kacang-kacang,4,April,6.36,6.21
ex_vessel,Alu-alu/Kacang-kacang,5,Mei,6.33,6.21
ex_vessel,Alu-alu/Kacang-kacang,6,Jun,6.07,6.21
ex_vessel,Alu-alu/Kacang-kacang,7,Julai,5.81,6.21
ex_vessel,Alu-alu/Kacang-kacang,8,Ogos,5.87,6.21
ex_vessel,Alu-alu/Kacang-kacang,9,September,6.06,6.21
ex_vessel,Alu-alu/Kacang-kacang,10,Oktober,5.85,6.21
ex_vessel,Alu-alu/Kacang-kacang,11,November,6.05,6.21
ex_vessel,Alu-alu/Kacang-kacang,12,Disember,6.39,6.21
ex_vessel,Aruan Tasek,1,Januari,5.07,5.51
ex_vessel,Aruan Tasek,2,Februari,5.17,5.51
ex_vessel,Aruan Tasek,3,Mac,5.42,5.51
ex_vessel,Aruan Tasek,4,April,5.2,5.51
ex_vessel,Aruan Tasek,5,Mei,5.54,5.51
ex_vessel,Aruan Tasek,6,Jun,5.41,5.51
ex_vessel,Aruan Tasek,7,Julai,5.67,5.51
ex_vessel,Aruan Tasek,8,Ogos,5.58,5.51
ex_vessel,Aruan Tasek,9,September,5.73,5.51
ex_vessel,Aruan Tasek,10,Oktober,5.61,5.51
ex_vessel,Aruan Tasek,11,November,5.57,5.51
ex_vessel,Aruan Tasek,12,Disember,6.13,5.51
ex_vessel,Baji-Baji,1,Januari,2.46,2.7
ex_vessel,Baji-Baji,2,Februari,2.42,2.7
ex_vessel,Baji-Baji,3,Mac,2.41,2.7
ex_vessel,Baji-Baji,4,April,2.27,2.7
ex_vessel,Baji-Baji,5,Mei,2.69,2.7
ex_vessel,Baji-Baji,6,Jun,2.44,2.7
ex_vessel,Baji-Baji,7,Julai,2.9,2.7
ex_vessel,Baji-Baji,8,Ogos,2.89,2.7
ex_vessel,Baji-Baji,9,September,2.89,2.7
ex_vessel,Baji-Baji,10,Oktober,2.93,2.7
ex_vessel,Baji-Baji,11,November,2.84,2.7
ex_vessel,Baji-Baji,12,Disember,3.31,2.7
ex_vessel,Bawal Bujang,1,Januari,16.26,16.38
ex_vessel,Bawal Bujang,2,Februari,16.82,16.38
ex_vessel,Bawal Bujang,3,Mac,16.55,16.38
ex_vessel,Bawal Bujang,4,April,16.46,16.38
ex_vessel,Bawal Bujang,5,Mei,16.33,16.38
ex_vessel,Bawal Bujang,6,Jun,16.03,16.38
ex_vessel,Bawal Bujang,7,Julai,15.2,16.38
ex_vessel,Bawal Bujang,8,Ogos,17.13,16.38
ex_vessel,Bawal Bujang,9,September,16.6,16.38
ex_vessel,Bawal Bujang,10,Oktober,16.71,16.38
ex_vessel,Bawal Bujang,11,November,16.62,16.38
ex_vessel,Bawal Bujang,12,Disember,15.87,16.38
ex_vessel,Bawal Emas,1,Januari,10.34,13.67
ex_vessel,Bawal Emas,2,Februari,12.17,13.67
ex_vessel,Bawal Emas,3,Mac,12.74,13.67
ex_vessel,Bawal Emas,4,April,11.03,13.67
ex_vessel,Bawal Emas,5,Mei,11.03,13.67
ex_vessel,Bawal Emas,6,Jun,14.55,13.67
ex_vessel,Bawal Emas,7,Julai,15.2,13.67
ex_vessel,Bawal Emas,8,Ogos,14.72,13.67
ex_vessel,Bawal Emas,9,September,15.47,13.67
ex_vessel,Bawal Emas,10,Oktober,15.12,13.67
ex_vessel,Bawal Emas,11,November,15.5,13.67
ex_vessel,Bawal Emas,12,Disember,16.17,13.67
ex_vessel,Bawal Hitam,1,Januari,19.47,17.6
ex_vessel,Bawal Hitam,2,Februari,19.35,17.6
ex_vessel,Bawal Hitam,3,Mac,18.06,17.6
ex_vessel,Bawal Hitam,4,April,17.82,17.6
ex_vessel,Bawal Hitam,5,Mei,17.06,17.6
ex_vessel,Bawal Hitam,6,Jun,16.54,17.6
ex_vessel,Bawal Hitam,7,Julai,17.55,17.6
ex_vessel,Bawal Hitam,8,Ogos,16.91,17.6
ex_vessel,Bawal Hitam,9,September,17.22,17.6
ex_vessel,Bawal Hitam,10,Oktober,17.14,17.6
ex_vessel,Bawal Hitam,11,November,16.92,17.6
ex_vessel,Bawal Hitam,12,Disember,17.1,17.6
ex_vessel,Bawal Putih,1,Januari,33.99,32.27
ex_vessel,Bawal Putih,2,Februari,33.35,32.27
ex_vessel,Bawal Putih,3,Mac,29.04,32.27
ex_vessel,Bawal Putih,4,April,29.41,32.27
ex_vessel,Bawal Putih,5,Mei,32.02,32.27
ex_vessel,Bawal Putih,6,Jun,31.94,32.27
ex_vessel,Bawal Putih,7,Julai,34.5,32.27
ex_vessel,Bawal Putih,8,Ogos,32.41,32.27
ex_vessel,Bawal Putih,9,September,32.35,32.27
ex_vessel,Bawal Putih,10,Oktober,32.33,32.27
ex_vessel,Bawal Putih,11,November,32.49,32.27
ex_vessel,Bawal Putih,12,Disember,33.4,32.27
ex_vessel,Bawal Selatan,1,Januari,12.63,10.86
ex_vessel,Bawal Selatan,2,Februari,11.3,10.86
ex_vessel,Bawal Selatan,3,Mac,11.47,10.86
ex_vessel,Bawal Selatan,4,April,10.1,10.86
ex_vessel,Bawal Selatan,5,Mei,9.99,10.86
ex_vessel,Bawal Selatan,6,Jun,10.37,10.86
ex_vessel,Bawal Selatan,7,Julai,10.19,10.86
ex_vessel,Bawal Selatan,8,Ogos,10.31,10.86
ex_vessel,Bawal Selatan,9,September,10.95,10.86
ex_vessel,Bawal Selatan,10,Oktober,10.27,10.86
ex_vessel,Bawal Selatan,11,November,10.55,10.86
ex_vessel,Bawal Selatan,12,Disember,12.18,10.86
ex_vessel,Bawal Tambak,1,Januari,52.91,50.4
ex_vessel,Bawal Tambak,2,Februari,54.57,50.4
ex_vessel,Bawal Tambak,3,Mac,48.61,50.4
ex_vessel,Bawal Tambak,4,April,48.65,50.4
ex_vessel,Bawal Tambak,5,Mei,49.62,50.4
ex_vessel,Bawal Tambak,6,Jun,48.68,50.4
ex_vessel,Bawal Tambak,7,Julai,52.15,50.4
ex_vessel,Bawal Tambak,8,Ogos,48.84,50.4
ex_vessel,Bawal Tambak,9,September,48.76,50.4
ex_vessel,Bawal Tambak,10,Oktober,49.89,50.4
ex_vessel,Bawal Tambak,11,November,50.5,50.4
ex_vessel,Bawal Tambak,12,Disember,51.66,50.4
ex_vessel,Bayan,1,Januari,6.18,7.35
ex_vessel,Bayan,2,Februari,6.51,7.35
ex_vessel,Bayan,3,Mac,7.26,7.35
ex_vessel,Bayan,4,April,7.68,7.35
ex_vessel,Bayan,5,Mei,7.66,7.35
ex_vessel,Bayan,6,Jun,6.63,7.35
ex_vessel,Bayan,7,Julai,7.74,7.35
ex_vessel,Bayan,8,Ogos,7.71,7.35
ex_vessel,Bayan,9,September,7.36,7.35
ex_vessel,Bayan,10,Oktober,7.67,7.35
ex_vessel,Bayan,11,November,7.91,7.35
ex_vessel,Bayan,12,Disember,7.84,7.35
ex_vessel,Belanak,1,Januari,6.34,6.14
ex_vessel,Belanak,2,Februari,6.39,6.14
ex_vessel,Belanak,3,Mac,5.98,6.14
ex_vessel,Belanak,4,April,5.87,6.14
ex_vessel,Belanak,5,Mei,6.19,6.14
ex_vessel,Belanak,6,Jun,6.0,6.14
ex_vessel,Belanak,7,Julai,6.37,6.14
ex_vessel,Belanak,8,Ogos,6.35,6.14
ex_vessel,Belanak,9,September,6.09,6.14
ex_vessel,Belanak,10,Oktober,5.71,6.14
ex_vessel,Belanak,11,November,6.19,6.14
ex_vessel,Belanak,12,Disember,6.22,6.14
ex_vessel,Belangkas,1,Januari,8.5,7.34
ex_vessel,Belangkas,2,Februari,8.5,7.34
ex_vessel,Belangkas,3,Mac,7.5,7.34
ex_vessel,Belangkas,4,April,8.5,7.34
ex_vessel,Belangkas,5,Mei,7.0,7.34
ex_vessel,Belangkas,6,Jun,5.63,7.34
ex_vessel,Belangkas,7,Julai,6.07,7.34
ex_vessel,Belangkas,8,Ogos,6.2,7.34
ex_vessel,Belangkas,9,September,7.0,7.34
ex_vessel,Belangkas,10,Oktober,6.57,7.34
ex_vessel,Belangkas,11,November,8.33,7.34
ex_vessel,Belangkas,12,Disember,8.33,7.34
ex_vessel,Beliak Mata,1,Januari,2.61,2.78
ex_vessel,Beliak Mata,2,Februari,2.66,2.78
ex_vessel,Beliak Mata,3,Mac,2.63,2.78
ex_vessel,Beliak Mata,4,April,2.77,2.78
ex_vessel,Beliak Mata,5,Mei,2.71,2.78
ex_vessel,Beliak Mata,6,Jun,2.81,2.78
ex_vessel,Beliak Mata,7,Julai,2.8,2.78
ex_vessel,Beliak Mata,8,Ogos,2.93,2.78
ex_vessel,Beliak Mata,9,September,2.83,2.78
ex_vessel,Beliak Mata,10,Oktober,2.94,2.78
ex_vessel,Beliak Mata,11,November,2.96,2.78
ex_vessel,Beliak Mata,12,Disember,2.71,2.78
ex_vessel,Belut,1,Januari,3.0,4.38
ex_vessel,Belut,2,Februari,3.0,4.38
ex_vessel,Belut,3,Mac,5.0,4.38
ex_vessel,Belut,4,April,5.0,4.38
ex_vessel,Belut,5,Mei,5.0,4.38
ex_vessel,Belut,6,Jun,4.5,4.38
ex_vessel,Belut,7,Julai,4.5,4.38
ex_vessel,Belut,8,Ogos,4.5,4.38
ex_vessel,Belut,9,September,4.5,4.38
ex_vessel,Belut,10,Oktober,4.5,4.38
ex_vessel,Belut,11,November,4.5,4.38
ex_vessel,Belut,12,Disember,4.5,4.38
ex_vessel,Benih Kerang,1,Januari,34.92,12.67
ex_vessel,Benih Kerang,2,Februari,11.17,12.67
ex_vessel,Benih Kerang,3,Mac,10.34,12.67
ex_vessel,Benih Kerang,4,April,8.63,12.67
ex_vessel,Benih Kerang,5,Mei,8.13,12.67
ex_vessel,Benih Kerang,6,Jun,6.38,12.67
ex_vessel,Benih Kerang,7,Julai,10.37,12.67
ex_vessel,Benih Kerang,8,Ogos,10.37,12.67
ex_vessel,Benih Kerang,9,September,22.67,12.67
ex_vessel,Benih Kerang,10,Oktober,7.33,12.67
ex_vessel,Benih Kerang,11,November,11.78,12.67
ex_vessel,Benih Kerang,12,Disember,10.0,12.67
ex_vessel,Biji Nangka,1,Januari,3.51,3.06
ex_vessel,Biji Nangka,2,Februari,3.15,3.06
ex_vessel,Biji Nangka,3,Mac,3.37,3.06
ex_vessel,Biji Nangka,4,April,3.33,3.06
ex_vessel,Biji Nangka,5,Mei,3.21,3.06
ex_vessel,Biji Nangka,6,Jun,3.26,3.06
ex_vessel,Biji Nangka,7,Julai,2.77,3.06
ex_vessel,Biji Nangka,8,Ogos,2.69,3.06
